Age,M,F
0-4,157572923,152785324
5-9,154413970,150168291
10-14,151057052,147173040
15-19,146912220,143435556
20-24,141886338,139015980
25-29,135994837,133756921
30-34,129267543,127617740
35-39,121290707,120252756
40-44,112216175,111835108
45-49,102448208,102824743
50-54,92341268,93668672
55-59,81870069,84367884
60-64,70103451,74004374
65-69,55037973,60311668
70-74,40009461,46085181
75-79,26505867,32647128
80-84,15135176,20414725
85-89,6771104,10306765
90-94,2136522,3700372
95-99,426622,827518
100+,51245,108155
