Age,M,F
0-4,190538237,173315220
5-9,190093958,173718355
10-14,193194175,177836764
15-19,203023527,189871548
20-24,178344342,168162957
25-29,163341635,154574091
30-34,165281560,156954509
35-39,156252461,149736914
40-44,134014961,128110498
45-49,112535681,107879993
50-54,101368249,98252476
55-59,74201018,73590361
60-64,56944944,57062269
65-69,46623964,48195031
70-74,33971290,37525238
75-79,20580860,24867644
80-84,9979955,14140339
85-89,3804690,6372198
90-94,963818,2103371
95-99,149098,434030
100+,15290,58933
