Age,M,F
0-4,18801107,17822424
5-9,20125175,19077687
10-14,21002871,19883986
15-19,20799917,19720782
20-24,19652061,18708800
25-29,20186613,19312440
30-34,23153049,22275416
35-39,26502606,25944486
40-44,26375596,26329635
45-49,25628067,26136482
50-54,25130201,26006481
55-59,24284193,25883736
60-64,23798514,26743161
65-69,20760957,25094504
70-74,16938710,22241798
75-79,12778336,17643724
80-84,7787251,12037137
85-89,4758553,8921957
90-94,1768756,3957563
95-99,403630,1207363
100+,38571,166984
