Age,M,F
0-4,21560963,20578542
5-9,22165726,21164138
10-14,22875528,21853326
15-19,23633124,22609130
20-24,24284268,23326599
25-29,24887759,24046643
30-34,25298124,24620470
35-39,25252580,24811404
40-44,24961038,24812192
45-49,25109575,25312662
50-54,24835695,25571990
55-59,23894324,24981932
60-64,21820216,23541335
65-69,19369677,21702591
70-74,15887000,18758073
75-79,12178791,15297892
80-84,8574039,11691626
85-89,5072875,7667164
90-94,2175122,3812202
95-99,653928,1371298
100+,113175,297563
