Age,M,F
0-4,11425846,10925338
5-9,11142657,10662965
10-14,11312815,10825680
15-19,12079763,11609782
20-24,12351930,11947146
25-29,12967937,12600967
30-34,13812921,13381518
35-39,13167198,12863557
40-44,12228322,12181335
45-49,11297267,11420350
50-54,10995507,11191962
55-59,11202438,11270883
60-64,11520543,11875929
65-69,10550871,11399870
70-74,8571026,9773466
75-79,6402919,7737112
80-84,3781263,5028385
85-89,2051683,2966661
90-94,852210,1516170
95-99,246413,565991
100+,33388,111016
