Age,M,F
0-4,28519543,26653255
5-9,29179288,27269063
10-14,29912206,27953315
15-19,30822307,28800095
20-24,31832817,29745261
25-29,32847368,30699879
30-34,33679541,31491967
35-39,33974612,31792312
40-44,34402854,32229553
45-49,35704585,32878867
50-54,38401064,34812860
55-59,42032283,37602281
60-64,42902438,37953841
65-69,40377466,35521502
70-74,36609277,33209644
75-79,33899038,32466821
80-84,30319042,31162250
85-89,26677374,30542313
90-94,10636464,13888765
95-99,3523419,5605923
100+,883225,2164175
