Age,M,F
0-4,40271172,37322526
5-9,41653714,38615285
10-14,43394850,40247175
15-19,45219783,41945135
20-24,46632584,43246296
25-29,47767592,44336274
30-34,48719861,45349479
35-39,50101116,46860567
40-44,52195411,48861103
45-49,54123599,50676595
50-54,54580619,51180349
55-59,53495142,50480322
60-64,50947905,48998551
65-69,47731615,46974568
70-74,44931766,45739953
75-79,36463436,38781059
80-84,25084806,28766076
85-89,13587842,17354719
90-94,5143993,7721967
95-99,1315575,2434178
100+,231274,557960
