Age,M,F
0-4,10385364,9910051
5-9,10671483,10188637
10-14,10956105,10466250
15-19,11156378,10648332
20-24,11260940,10733770
25-29,11338987,10799595
30-34,11433274,10887047
35-39,11592237,11047167
40-44,11815835,11295565
45-49,11078036,10487252
50-54,11031054,10489686
55-59,10346151,10068298
60-64,8973148,9124370
65-69,7672415,8465682
70-74,7046028,8217989
75-79,5164480,6482602
80-84,3210137,4490602
85-89,1463714,2410868
90-94,428999,878292
95-99,73118,185826
100+,5853,17655
