Age,M,F
0-4,29607443,28280974
5-9,29429860,28235434
10-14,29276243,28161352
15-19,29046257,28019329
20-24,28587034,27708401
25-29,27858450,27137917
30-34,26960627,26394154
35-39,25919937,25504827
40-44,24679625,24416901
45-49,23275722,23196206
50-54,21495694,21654429
55-59,19430566,19884221
60-64,16846404,17618554
65-69,13706607,14754124
70-74,10140039,11320416
75-79,6439359,7551083
80-84,3206034,4015066
85-89,1086063,1495578
90-94,206249,329974
95-99,20084,40438
100+,1074,2847
