Age,M,F
0-4,11495439,10989646
5-9,11484156,10983157
10-14,11462730,10974648
15-19,11632752,11179456
20-24,12012020,11605369
25-29,12429400,12065657
30-34,12721251,12393279
35-39,12830262,12532295
40-44,12775090,12504767
45-49,12632102,12392989
50-54,12501838,12304999
55-59,12369193,12238136
60-64,12145973,12113275
65-69,11773150,11871192
70-74,11153947,11408941
75-79,10142489,10573538
80-84,8869343,9498433
85-89,7370874,8215036
90-94,5056395,5964759
95-99,2434947,3125461
100+,664731,1028267
