Age,M,F
0-4,352058478,335973398
5-9,351236887,335544638
10-14,349743288,334223469
15-19,346671119,331097295
20-24,342876057,327390967
25-29,339609687,323463186
30-34,337584646,320753850
35-39,335183186,318417006
40-44,326817431,310843063
45-49,311196098,296767038
50-54,290690360,279286140
55-59,274176143,268217784
60-64,259027890,260095299
65-69,243626826,254899814
70-74,192920115,212242775
75-79,144819415,169202882
80-84,105761817,133169665
85-89,61925147,86815296
90-94,25919585,42243217
95-99,7063614,14187783
100+,1146721,3209665
