Age,M,F
0-4,10087074,9620450
5-9,10359692,9883880
10-14,10654674,10170960
15-19,10919437,10413392
20-24,11085765,10556969
25-29,11181415,10640274
30-34,11260252,10715485
35-39,11346003,10805999
40-44,11481642,10955880
45-49,11656965,11177971
50-54,10846780,10337097
55-59,10670316,10278029
60-64,9822570,9766625
65-69,8266705,8695837
70-74,6733379,7815225
75-79,5691177,7135178
80-84,3624489,5027379
85-89,1788656,2864734
90-94,571785,1130528
95-99,102351,262566
100+,9222,29230
